"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Joc Pederson","Dodgers","146","604","533","131","31","1","26","79","86","60","109","8","5","2",".246",".329",".454",".784",".337","0.0","-0.2","2.4","383.3","11899"
"Dan Vogelbach","Mariners","105","433","368","85","17","1","19","57","61","60","109","2","1","0",".231",".339",".438",".777",".336","-3.0","-0.1","1.0","591.0","14130"
"Marwin Gonzalez","Twins","140","576","520","140","30","2","19","70","75","49","102","5","6","2",".269",".337",".444",".781",".336","0.0","0.0","2.8","235.9","5497"
"DJ LeMahieu","Yankees","129","526","477","135","28","4","13","59","63","41","73","3","4","2",".283",".340",".440",".781",".336","7.0","-0.3","3.4","275.4","9874"
"Yuli Gurriel","Astros","128","531","496","147","32","1","15","62","67","23","56","5","4","1",".296",".330",".456",".785",".336","-2.0","0.1","1.6","198.5","19198"
"Billy McKinney","Blue Jays","117","516","461","121","20","5","19","71","65","45","113","5","5","2",".262",".331",".451",".783",".336","-2.0","-0.1","1.8","576.8","15654"
"Harrison Bader","Cardinals","145","599","533","144","25","3","18","70","76","48","144","14","22","8",".270",".344",".430",".774",".336","14.0","0.8","4.6","191.0","18030"
"Maikel Franco","Phillies","142","589","540","146","27","1","26","78","84","43","71","2","3","1",".270",".324",".469",".793",".335","-2.0","-0.1","2.7","280.1","12179"
"Matt Kemp","Reds","124","517","476","135","23","0","21","66","72","33","102","1","0","0",".284",".327",".464",".791",".335","-6.0","-0.3","1.0","310.9","5631"
"Teoscar Hernandez","Blue Jays","118","485","442","111","25","4","22","64","68","36","144","4","4","1",".251",".311",".475",".786",".335","-6.0","0.2","1.2","390.0","13066"
"Jorge Polanco","Twins","149","680","621","181","33","7","13","99","65","49","111","4","16","6",".291",".344",".430",".774",".335","-5.0","0.3","3.3","224.5","13152"
"Didi Gregorius","Yankees","75","313","285","78","14","1","12","39","43","21","38","3","3","1",".274",".326",".456",".782",".334","3.0","0.0","2.1","404.7","6012"
"Johan Camargo","Braves","116","476","433","120","23","3","14","55","58","37","91","3","3","2",".277",".336",".441",".777",".334","3.0","-0.5","2.4","435.7","14950"
"Luis Urias","Padres","145","623","547","149","27","6","11","62","72","60","108","13","11","6",".272",".356",".404",".760",".334","3.0","-0.7","3.6","443.5","16622"
"Willians Astudillo","Twins","83","338","316","95","16","1","9","38","41","11","20","7","2","1",".301",".334",".443",".777",".334","-2.0","-0.2","1.7","266.3","15608"
"Cesar Hernandez","Phillies","142","637","555","153","18","6","11","84","66","76","116","4","16","5",".276",".366",".389",".755",".333","1.0","0.7","3.2","178.5","10556"
"Ian Desmond","Rockies","142","577","525","138","24","5","21","70","75","43","111","5","20","4",".263",".322",".448",".770",".331","-1.0","2.0","1.1","142.5","6885"
"Ryon Healy","Mariners","110","456","422","109","19","1","22","61","65","30","89","2","1","1",".258",".309",".464",".774",".330","-3.0","-0.4","1.1","476.5","15447"
"Ben Zobrist","Cubs","130","556","487","135","25","3","9","53","63","61","59","3","4","2",".277",".358",".396",".754",".330","2.0","-0.4","2.5","517.3","7435"
"Jonathan Schoop","Twins","139","570","533","140","31","1","26","73","78","26","118","7","4","2",".263",".304",".471",".774",".329","1.0","-0.3","2.6","185.5","11265"
"Jason Heyward","Cubs","136","543","490","135","26","4","11","58","64","48","61","3","7","3",".276",".343",".412",".755",".329","8.0","-0.2","2.3","564.2","4940"
"Jay Bruce","Mariners","118","497","446","108","23","3","22","64","71","47","93","2","2","1",".242",".316",".455",".771",".329","-3.0","-0.3","1.3","285.6","9892"
"Adam Jones","Diamondbacks","131","549","517","144","31","0","20","66","73","23","72","5","6","1",".279",".313",".455",".768",".328","-9.0","0.5","1.0","396.9","6368"
"Evan Gattis","","140","574","520","132","27","0","27","74","79","42","100","5","3","1",".254",".312",".462",".773",".328","0.0","-0.1","0.7","589.3","11003"
"Nick Markakis","Braves","143","593","522","146","35","1","9","58","64","62","70","3","2","2",".280",".356",".402",".758",".328","-1.0","-0.8","1.3","342.1","5930"
"Omar Narvaez","Mariners","111","440","389","105","16","0","10","50","53","48","87","2","1","1",".270",".352",".388",".740",".327","-1.0","-0.5","2.8","278.3","13338"
"Daniel Palka","White Sox","127","536","493","123","20","4","26","70","78","38","147","2","5","2",".249",".304",".465",".769",".327","-5.0","-0.1","1.0","350.3","14897"
"Kole Calhoun","Angels","143","625","553","140","23","3","22","73","77","61","120","5","7","2",".253",".330",".425",".755",".326","3.0","0.2","2.5","470.0","11200"
"Lourdes Gurriel Jr.","Blue Jays","137","627","583","166","26","1","21","96","65","28","125","7","8","3",".285",".321",".441",".761",".326","-1.0","0.0","3.0","281.5","19238"
"Jose Peraza","Reds","152","657","611","178","29","6","12","64","72","34","65","8","28","8",".291",".335",".417",".752",".325","0.0","1.9","3.2","95.9","13593"
"Kyle Seager","Mariners","141","601","543","137","31","1","24","71","81","48","105","6","5","2",".252",".318",".446",".763",".325","6.0","-0.1","3.6","346.0","9785"
"Kendrys Morales","Blue Jays","128","540","480","122","20","0","20","65","72","51","105","5","2","1",".254",".330",".421",".750",".325","-1.0","-0.3","0.6","538.6","8610"
"Fernando Tatis Jr.","Padres","101","438","396","101","20","4","15","49","55","34","113","4","17","5",".255",".317",".439",".757",".325","1.0","1.1","2.3","280.3","sa919910"
"Todd Frazier","Mets","98","404","347","79","17","0","17","49","52","46","89","6","5","2",".228",".324",".424",".748",".324","2.0","0.0","1.8","570.8","785"
"Mitch Garver","Twins","79","316","282","75","16","1","7","34","37","31","66","1","0","0",".266",".339",".404",".743",".324","-2.0","-0.2","1.5","484.9","15161"
